onset	duration	outcome	house_old	chose_old	truecond	condchosen
      0	2	1	0	1	1	1
 11.054	2	1	1	0	1	1
 30.646	2	1	0	1	1	1
 38.739	2	0	1	0	1	1
 49.314	2	1	0	1	1	1
 60.881	2	1	1	0	1	1
 72.465	2	0	0	0	1	2
 80.542	2	1	1	0	1	1
 88.618	2	1	0	1	1	1
 96.711	2	0	1	0	1	1
113.292	2	1	0	1	1	1
122.858	2	1	1	0	1	1
135.914	2	0	0	1	2	1
149.004	2	0	1	0	2	1
161.068	2	1	1	0	2	1
170.633	2	0	0	1	2	1
191.201	2	0	1	0	2	1
200.767	2	1	0	0	2	2
 208.86	2	1	0	0	2	2
219.451	2	1	1	1	2	2
227.528	2	1	1	1	2	2
247.616	2	1	0	0	2	2
257.182	2	0	1	1	2	2
265.241	2	0	0	1	2	1
274.824	2	0	0	1	2	1
293.903	2	1	1	1	2	2
303.501	2	1	1	1	2	2
311.578	2	1	0	0	2	2
321.656	2	1	1	1	2	2
336.251	2	0	0	0	1	2
347.339	2	0	0	0	1	2
359.436	2	1	1	1	1	2
371.153	2	1	1	0	1	1
382.241	2	0	1	1	1	2
396.803	2	1	0	1	1	1
404.846	2	0	1	0	1	1
420.451	2	1	0	1	1	1
432.018	2	0	1	NaN	1	2
443.569	2	1	1	0	1	1
456.659	2	1	0	1	1	1
464.719	2	0	1	0	1	1
474.814	2	0	0	0	1	2
484.346	2	0	0	0	1	2
493.912	2	1	1	0	1	1
507.002	2	1	1	0	1	1
520.075	2	1	0	1	1	1
532.139	2	1	1	0	1	1
541.737	2	0	1	0	2	1
553.818	2	0	1	0	2	1
565.402	2	1	0	0	2	2
574.984	2	1	1	1	2	2
 583.06	2	1	0	0	2	2
593.635	2	1	1	1	2	2
601.695	2	0	0	NaN	2	1
615.264	2	0	0	0	2	2
631.332	2	1	1	1	2	2
639.392	2	1	1	1	2	2
648.974	2	0	0	0	2	2
668.053	2	0	0	1	2	1
677.619	2	1	1	0	2	1
685.712	2	0	1	0	2	1
 695.79	2	1	0	0	2	2
710.369	2	1	0	NaN	2	1
730.408	2	0	1	0	2	1
742.125	2	0	1	0	2	1
756.669	2	0	0	1	2	1
764.713	2	1	0	0	2	2
772.756	2	1	1	1	2	2
783.298	2	1	1	1	2	2
803.337	2	1	0	0	2	2
 811.38	2	1	1	1	2	2
819.423	2	1	0	0	2	2
827.467	2	1	0	0	2	2
837.513	2	1	1	1	2	2
847.062	2	0	1	1	2	2
856.611	2	1	0	0	2	2
869.667	2	1	1	0	1	1
882.707	2	0	0	1	1	1
894.755	2	0	0	0	1	2
904.303	2	0	1	NaN	1	2
916.333	2	0	1	1	1	2
927.885	2	1	1	0	1	1
937.433	2	1	0	1	1	1
945.477	2	1	1	0	1	1
961.033	2	1	0	1	1	1
974.585	2	0	1	1	1	2
984.134	2	1	1	1	1	2
998.679	2	0	0	1	1	1
1008.23	2	0	1	1	1	2
1027.27	2	1	0	1	1	1
1036.82	2	1	0	1	1	1
1044.85	2	0	1	1	1	2
 1054.9	2	0	1	NaN	1	2
1069.42	2	1	0	1	1	1
1080.48	2	1	1	0	1	1
1092.53	2	1	1	0	1	1
1104.24	2	1	1	0	1	1
1115.28	2	1	0	1	1	1
1129.83	2	1	1	0	1	1
1137.87	2	1	0	1	1	1
1145.91	2	0	1	0	2	1
1156.46	2	0	0	0	2	2
1167.99	2	1	0	0	2	2
1184.54	2	1	1	1	2	2
1192.58	2	1	1	1	2	2
1200.62	2	0	0	1	2	1
1210.67	2	0	0	1	2	1
1220.22	2	1	1	1	2	2
1229.77	2	1	1	0	2	1
1242.82	2	1	0	0	2	2
1255.86	2	0	0	NaN	2	1
 1274.4	2	0	1	0	2	1
1286.44	2	0	0	1	2	1
   1298	2	0	1	1	2	2
1312.56	2	0	0	1	2	1
 1323.1	2	0	1	0	2	1
1331.14	2	0	0	0	2	2
 1344.7	2	0	1	0	2	1
1354.25	2	1	0	1	2	1
1363.79	2	0	1	NaN	2	1
1371.84	2	0	0	1	2	1
1381.39	2	0	1	0	2	1
1406.93	2	1	0	1	2	1
1414.98	2	0	1	0	2	1
1425.02	2	1	0	0	2	2
1439.57	2	0	1	0	2	1
1450.61	2	1	1	0	2	1
1462.65	2	0	0	1	2	1
